# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
2.35605863e-05 9.99976440e-01 1.01878698e-01 4.42933743e-03 3.32279956e-01 1.00001018e+00
2.37786993e-05 9.99976222e-01 1.02821839e-01 4.55349336e-03 3.35355998e-01 1.00001027e+00
2.39988314e-05 9.99976002e-01 1.03773711e-01 4.68112943e-03 3.38460515e-01 1.00001037e+00
2.42210015e-05 9.99975780e-01 1.04734395e-01 4.81234317e-03 3.41593771e-01 1.00001046e+00
2.44452283e-05 9.99975555e-01 1.05703972e-01 4.94723487e-03 3.44756032e-01 1.00001056e+00
2.46715309e-05 9.99975329e-01 1.06682525e-01 5.08590763e-03 3.47947567e-01 1.00001066e+00
2.48999284e-05 9.99975101e-01 1.07670137e-01 5.22846743e-03 3.51168647e-01 1.00001076e+00
2.51304404e-05 9.99974870e-01 1.08666892e-01 5.37502323e-03 3.54419545e-01 1.00001086e+00
2.53630864e-05 9.99974638e-01 1.09672874e-01 5.52568703e-03 3.57700537e-01 1.00001096e+00
2.55978861e-05 9.99974403e-01 1.10688169e-01 5.68057397e-03 3.61011902e-01 1.00001106e+00
2.58348594e-05 9.99974166e-01 1.11712863e-01 5.83980245e-03 3.64353921e-01 1.00001116e+00
2.60740266e-05 9.99973927e-01 1.12747043e-01 6.00349415e-03 3.67726878e-01 1.00001126e+00
2.63154078e-05 9.99973685e-01 1.13790797e-01 6.17177417e-03 3.71131058e-01 1.00001137e+00
2.65590237e-05 9.99973442e-01 1.14844213e-01 6.34477114e-03 3.74566752e-01 1.00001147e+00
2.68048948e-05 9.99973196e-01 1.15907382e-01 6.52261726e-03 3.78034251e-01 1.00001158e+00
2.70530421e-05 9.99972948e-01 1.16980392e-01 6.70544845e-03 3.81533849e-01 1.00001169e+00
2.73034866e-05 9.99972697e-01 1.18063336e-01 6.89340446e-03 3.85065843e-01 1.00001180e+00
2.75562496e-05 9.99972445e-01 1.19156305e-01 7.08662893e-03 3.88630534e-01 1.00001190e+00
2.78113526e-05 9.99972189e-01 1.20259392e-01 7.28526953e-03 3.92228224e-01 1.00001201e+00
2.80688172e-05 9.99971932e-01 1.21372691e-01 7.48947809e-03 3.95859218e-01 1.00001213e+00
2.83286653e-05 9.99971672e-01 1.22496296e-01 7.69941066e-03 3.99523824e-01 1.00001224e+00
2.85909189e-05 9.99971410e-01 1.23630303e-01 7.91522771e-03 4.03222355e-01 1.00001235e+00
2.88556004e-05 9.99971145e-01 1.24774808e-01 8.13709417e-03 4.06955123e-01 1.00001247e+00
2.91227322e-05 9.99970878e-01 1.25929908e-01 8.36517960e-03 4.10722446e-01 1.00001258e+00
2.93923369e-05 9.99970609e-01 1.27095701e-01 8.59965833e-03 4.14524644e-01 1.00001270e+00
2.96644375e-05 9.99970336e-01 1.28272287e-01 8.84070956e-03 4.18362040e-01 1.00001282e+00
2.99390571e-05 9.99970062e-01 1.29459765e-01 9.08851753e-03 4.22234958e-01 1.00001293e+00
3.02162190e-05 9.99969785e-01 1.30658235e-01 9.34327161e-03 4.26143729e-01 1.00001305e+00
3.04959468e-05 9.99969505e-01 1.31867801e-01 9.60516652e-03 4.30088684e-01 1.00001317e+00
3.07782641e-05 9.99969223e-01 1.33088564e-01 9.87440241e-03 4.34070158e-01 1.00001330e+00
3.10631950e-05 9.99968938e-01 1.34320627e-01 1.01511850e-02 4.38088489e-01 1.00001342e+00
3.13507637e-05 9.99968650e-01 1.35564097e-01 1.04357260e-02 4.42144018e-01 1.00001354e+00
3.16409945e-05 9.99968360e-01 1.36819078e-01 1.07282427e-02 4.46237089e-01 1.00001367e+00
3.19339121e-05 9.99968067e-01 1.38085677e-01 1.10289587e-02 4.50368051e-01 1.00001380e+00
3.22295415e-05 9.99967771e-01 1.39364001e-01 1.13381038e-02 4.54537253e-01 1.00001392e+00
3.25279076e-05 9.99967473e-01 1.40654159e-01 1.16559143e-02 4.58745050e-01 1.00001405e+00
3.28290359e-05 9.99967172e-01 1.41956261e-01 1.19826332e-02 4.62991799e-01 1.00001418e+00
3.31329519e-05 9.99966868e-01 1.43270417e-01 1.23185101e-02 4.67277861e-01 1.00001431e+00
3.34396814e-05 9.99966561e-01 1.44596738e-01 1.26638017e-02 4.71603599e-01 1.00001445e+00
